optimizer,beta1,rho,fixed_beta,step,train_loss,val_loss,val_loss_x,val_loss_z,val_loss_y,beta_t,lr,step_time,tokens_per_sec,elapsed_s,best_val_loss,update_cosine_similarity,z_x_distance,y_x_distance,y_z_distance,y_x_expected_distance,y_z_expected_distance,amuse_y_reconstruction_error
amuse_muon,0.4,0.5,nan,0,4.413179874420166,4.396312713623047,4.396312713623047,4.396312713623047,4.382697582244873,0.4,0.001,nan,0.0,0.1341107890038984,4.396312713623047,nan,0.0,0.0,0.0,0.0,0.0,0.0
amuse_muon,0.4,0.5,nan,50,2.748096466064453,2.815187931060791,2.815187931060791,2.6774845123291016,2.599882125854492,0.4,0.001,0.0036483559961197898,121040.29585807446,0.42299962700053584,2.815187931060791,nan,0.08753026865163281,0.05251816119097969,0.03524181446540506,0.052518161190979684,0.03524181446540505,2.515740061733428e-08
amuse_muon,0.4,0.5,nan,100,2.5819613933563232,2.5774617195129395,2.5774617195129395,2.5768768787384033,2.492166757583618,0.5757359312880714,0.001,0.0036415220019989647,164215.10118375038,0.6235723710051388,2.5774617195129395,nan,0.11915364614711701,0.050552610716237276,0.06937367203259474,0.050552610716237276,0.06937367203259474,2.532087163958478e-08
amuse_muon,0.4,0.5,nan,150,2.485283613204956,2.4980273246765137,2.4980273246765137,2.6623196601867676,2.4164137840270996,0.6535898384862241,0.001,0.00364156199793797,185216.13448285573,0.8293014020018745,2.4980273246765137,nan,0.14549767347059528,0.050401872566827544,0.09644777533619132,0.05040187256682754,0.09644777533619131,2.5660142213990974e-08
amuse_muon,0.4,0.5,nan,200,2.4011247158050537,2.392632484436035,2.392632484436035,2.6058058738708496,2.3609132766723633,0.6999999999999995,0.001,0.003801469996687956,197943.23409763596,1.0346400620037457,2.392632484436035,nan,0.16866952945735086,0.050600858837205345,0.12010119141328411,0.05060085883720534,0.1201011914132841,2.543904236150878e-08
amuse_aurora,0.4,0.5,nan,0,4.413179874420166,4.396312713623047,4.396312713623047,4.396312713623047,4.382697582244873,0.4,0.001,nan,0.0,0.023107594999601133,4.396312713623047,nan,0.0,0.0,0.0,0.0,0.0,0.0
amuse_aurora,0.4,0.5,nan,50,2.7487337589263916,2.815800428390503,2.815800428390503,2.679518461227417,2.600111484527588,0.4,0.001,0.003812892005953472,216443.35377440034,0.23655149999831337,2.815800428390503,nan,0.08757837114395586,0.05254702268637352,0.03526278208570228,0.05254702268637352,0.03526278208570227,2.4996031534506136e-08
amuse_aurora,0.4,0.5,nan,100,2.5812296867370605,2.5773301124572754,2.5773301124572754,2.577939510345459,2.4902210235595703,0.5757359312880714,0.001,0.003922603005776182,230759.30025095545,0.44375242899695877,2.5773301124572754,nan,0.11938797810128221,0.05065202934454061,0.06950809840827464,0.05065202934454062,0.06950809840827464,2.5589358912258296e-08
amuse_aurora,0.4,0.5,nan,150,2.4840798377990723,2.498067617416382,2.498067617416382,2.650791883468628,2.4158589839935303,0.6535898384862241,0.001,0.0037358759946073405,235194.57860512455,0.6530762779948418,2.498067617416382,nan,0.1455574068216482,0.050422564806613536,0.0964850973954619,0.050422564806613536,0.0964850973954619,2.5126738430983896e-08
amuse_aurora,0.4,0.5,nan,200,2.3994088172912598,2.3913397789001465,2.3913397789001465,2.594390630722046,2.359043836593628,0.6999999999999995,0.001,0.003940491995308548,237647.0097984632,0.8617823559980025,2.3913397789001465,nan,0.16840528911839864,0.050521586735519666,0.11991647514256176,0.05052158673551967,0.11991647514256178,2.545695162613662e-08
amuse_aurora_fast,0.4,0.5,nan,0,4.413179874420166,4.396312713623047,4.396312713623047,4.396312713623047,4.382697582244873,0.4,0.001,nan,0.0,0.012639777996810153,4.396312713623047,nan,0.0,0.0,0.0,0.0,0.0,0.0
amuse_aurora_fast,0.4,0.5,nan,50,2.6995558738708496,2.7622487545013428,2.7622487545013428,2.643352508544922,2.566903591156006,0.4,0.001,0.003408005002711434,242425.17677109645,0.21119918600015808,2.7622487545013428,nan,0.08492110537051886,0.05095266322231131,0.034176978692539835,0.05095266322231132,0.03417697869253984,2.507358894211052e-08
amuse_aurora_fast,0.4,0.5,nan,100,2.5606796741485596,2.5559628009796143,2.5559628009796143,2.5518479347229004,2.4881834983825684,0.5757359312880714,0.001,0.0035535380011424422,251912.09211608054,0.4064910070010228,2.5559628009796143,nan,0.11370599275317157,0.04824136712238964,0.06623724359989051,0.04824136712238963,0.06623724359989051,2.564418519466561e-08
amuse_aurora_fast,0.4,0.5,nan,150,2.476824998855591,2.49090576171875,2.49090576171875,2.618473768234253,2.4142563343048096,0.6535898384862241,0.001,0.0036401699981070124,254519.44258625066,0.6034902419996797,2.49090576171875,nan,0.142895617268854,0.04950049385771442,0.09476069545042301,0.04950049385771442,0.09476069545042302,2.5486637904740348e-08
amuse_aurora_fast,0.4,0.5,nan,200,2.3975539207458496,2.3865158557891846,2.3865158557891846,2.582263946533203,2.35612416267395,0.6999999999999995,0.001,0.003542685000866186,256065.7317545493,0.7997946409959695,2.3865158557891846,nan,0.16883896958400368,0.05065169087520119,0.1201761089531777,0.05065169087520119,0.12017610895317768,2.5829494851228504e-08
