optimizer,beta1,rho,fixed_beta,step,train_loss,val_loss,val_loss_x,val_loss_z,val_loss_y,beta_t,lr,step_time,tokens_per_sec,elapsed_s,best_val_loss,update_cosine_similarity,z_x_distance,y_x_distance,y_z_distance,y_x_expected_distance,y_z_expected_distance,amuse_y_reconstruction_error
amuse_muon,0.4,0.5,nan,0,4.407927989959717,4.394090175628662,4.394090175628662,nan,nan,0.4,0.001,nan,0.0,0.14709194399620173,4.394090175628662,nan,nan,nan,nan,nan,nan,nan
amuse_muon,0.4,0.5,nan,250,2.36860990524292,2.3712403774261475,2.3712403774261475,nan,nan,0.4,0.001,0.0036835350038018078,223389.4873659063,1.1459805159975076,2.3712403774261475,nan,nan,nan,nan,nan,nan,nan
amuse_muon,0.4,0.5,nan,500,2.1719839572906494,2.20324444770813,2.20324444770813,nan,nan,0.575735931288074,0.001,0.003782722997129895,245336.25459322098,2.0869316719981725,2.20324444770813,nan,nan,nan,nan,nan,nan,nan
amuse_muon,0.4,0.5,nan,750,2.0586955547332764,2.094484567642212,2.094484567642212,nan,nan,0.6535898384862278,0.001,0.0036986609993618913,253917.49893378088,3.0246044609957607,2.094484567642212,nan,nan,nan,nan,nan,nan,nan
amuse_muon,0.4,0.5,nan,1000,2.0184667110443115,2.074781656265259,2.074781656265259,nan,nan,0.7000000000000033,0.001,0.003581616998417303,257814.30987526712,3.971850904999883,2.074781656265259,nan,nan,nan,nan,nan,nan,nan
amuse_aurora,0.4,0.5,nan,0,4.407927989959717,4.394090175628662,4.394090175628662,nan,nan,0.4,0.001,nan,0.0,0.023776795002049766,4.394090175628662,nan,nan,nan,nan,nan,nan,nan
amuse_aurora,0.4,0.5,nan,250,2.3666419982910156,2.3689842224121094,2.3689842224121094,nan,nan,0.4,0.001,0.0037387359989224933,257921.23698140268,0.9925510710017988,2.3689842224121094,nan,nan,nan,nan,nan,nan,nan
amuse_aurora,0.4,0.5,nan,500,2.167046308517456,2.19869327545166,2.19869327545166,nan,nan,0.575735931288074,0.001,0.0037789440029882826,261919.25025055694,1.954800953004451,2.19869327545166,nan,nan,nan,nan,nan,nan,nan
amuse_aurora,0.4,0.5,nan,750,2.0468356609344482,2.0836215019226074,2.0836215019226074,nan,nan,0.6535898384862278,0.001,0.003841221005131956,262710.11693685746,2.9233742840006016,2.0836215019226074,nan,nan,nan,nan,nan,nan,nan
amuse_aurora,0.4,0.5,nan,1000,1.9945204257965088,2.052389621734619,2.052389621734619,nan,nan,0.7000000000000033,0.001,0.003605404999689199,262919.5075813116,3.8947281220025616,2.052389621734619,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast,0.4,0.5,nan,0,4.407927989959717,4.394090175628662,4.394090175628662,nan,nan,0.4,0.001,nan,0.0,0.0227695709982072,4.394090175628662,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast,0.4,0.5,nan,250,2.3630499839782715,2.3652150630950928,2.3652150630950928,nan,nan,0.4,0.001,0.003777477002586238,230785.12838346898,1.109256916999584,2.3652150630950928,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast,0.4,0.5,nan,500,2.167003631591797,2.1956162452697754,2.1956162452697754,nan,nan,0.575735931288074,0.001,0.0037920819959254004,245492.35178624417,2.085604689003958,2.1956162452697754,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast,0.4,0.5,nan,750,2.051518201828003,2.0929009914398193,2.0929009914398193,nan,nan,0.6535898384862278,0.001,0.004037893006170634,251143.25667099043,3.0580156130017713,2.0929009914398193,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast,0.4,0.5,nan,1000,2.02626371383667,2.094804048538208,2.094804048538208,nan,nan,0.7000000000000033,0.001,0.00373839600069914,253905.10451939533,4.0330028099997435,2.0929009914398193,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast2,0.4,0.5,nan,0,4.407927989959717,4.394090175628662,4.394090175628662,nan,nan,0.4,0.001,nan,0.0,0.012413593998644501,4.394090175628662,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast2,0.4,0.5,nan,250,2.3805079460144043,2.3798584938049316,2.3798584938049316,nan,nan,0.4,0.001,0.0034867959984694608,290343.5870555536,0.881713980998029,2.3798584938049316,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast2,0.4,0.5,nan,500,2.1739063262939453,2.197864055633545,2.197864055633545,nan,nan,0.575735931288074,0.001,0.0035510910020093434,292364.80801361427,1.7512367629969958,2.197864055633545,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast2,0.4,0.5,nan,750,2.0248279571533203,2.0673282146453857,2.0673282146453857,nan,nan,0.6535898384862278,0.001,0.0035186099994461983,293565.0122727189,2.616115571996488,2.0673282146453857,nan,nan,nan,nan,nan,nan,nan
amuse_aurora_fast2,0.4,0.5,nan,1000,1.970110297203064,2.0332136154174805,2.0332136154174805,nan,nan,0.7000000000000033,0.001,0.00359163100074511,294086.4056150243,3.48196985800314,2.0332136154174805,nan,nan,nan,nan,nan,nan,nan
