optimizer,beta1,rho,fixed_beta,step,train_loss,val_loss,val_loss_x,val_loss_z,val_loss_y,beta_t,lr,step_time,tokens_per_sec,elapsed_s,best_val_loss,update_cosine_similarity,z_x_distance,y_x_distance,y_z_distance,y_x_expected_distance,y_z_expected_distance,amuse_y_reconstruction_error
amuse_muon,0.4,0.5,nan,0,4.407927513122559,4.394089698791504,4.394089698791504,4.394089698791504,4.389726638793945,0.4,0.001,nan,0.0,0.14604814699850976,4.394089698791504,nan,0.0,0.0,0.0,0.0,0.0,0.0
amuse_muon,0.4,0.5,nan,250,2.36860990524292,2.3712406158447266,2.3712406158447266,2.3256077766418457,2.2212722301483154,0.4,0.001,0.0037159569983487017,211963.88466297768,1.2077529169982881,2.3712406158447266,nan,0.1753253249150546,0.10519519494903275,0.07206373276481903,0.10519519494903275,0.07206373276481902,2.4935254346564298e-08
amuse_muon,0.4,0.5,nan,500,2.1719841957092285,2.20324444770813,2.20324444770813,2.4246463775634766,2.1627652645111084,0.575735931288074,0.001,0.004877455001405906,234983.5617088216,2.1788758170005167,2.20324444770813,nan,0.24825265161475393,0.10532468004259982,0.1510724571151478,0.10532468004259979,0.15107245711514777,2.545991387792101e-08
amuse_muon,0.4,0.5,nan,750,2.0586953163146973,2.094484806060791,2.094484806060791,2.4412426948547363,2.0804944038391113,0.6535898384862278,0.001,0.0037493799973162822,243637.28578405536,3.152226874997723,2.094484806060791,nan,0.3071447753156309,0.10639807122519898,0.21775914737420551,0.10639807122519898,0.21775914737420554,2.5541786958531073e-08
amuse_muon,0.4,0.5,nan,1000,2.0184664726257324,2.074781894683838,2.074781894683838,2.7938103675842285,2.0391950607299805,0.7000000000000033,0.001,0.003988784003013279,248327.04621382078,4.12359433099482,2.074781894683838,nan,0.3686667819248155,0.11060003457744345,0.28472451766286566,0.11060003457744344,0.2847245176628656,2.5978334898664582e-08
amuse_aurora,0.4,0.5,nan,0,4.407927513122559,4.394089698791504,4.394089698791504,4.394089698791504,4.389726638793945,0.4,0.001,nan,0.0,0.028016450996801723,4.394089698791504,nan,0.0,0.0,0.0,0.0,0.0,0.0
amuse_aurora,0.4,0.5,nan,250,2.3666419982910156,2.3689839839935303,2.3689839839935303,2.3236827850341797,2.2161965370178223,0.4,0.001,0.0037776609970023856,246392.7476142304,1.0389916200001608,2.3689839839935303,nan,0.17552381749445636,0.10531429049667382,0.0721453612783022,0.10531429049667382,0.07214536127830219,2.498080810851766e-08
amuse_aurora,0.4,0.5,nan,500,2.167046546936035,2.198693037033081,2.198693037033081,2.4124481678009033,2.155056953430176,0.575735931288074,0.001,0.0038476359986816533,249270.57029004575,2.053992973997083,2.198693037033081,nan,0.24930250632020085,0.10577009567148907,0.1516413737613294,0.10577009567148907,0.15164137376132944,2.5800825195176555e-08
amuse_aurora,0.4,0.5,nan,750,2.0468356609344482,2.0836215019226074,2.0836215019226074,2.5398144721984863,2.055243492126465,0.6535898384862278,0.001,0.003633771004388109,254996.78535757773,3.01180267399468,2.0836215019226074,nan,0.3153120027005671,0.10922728178273444,0.2225017522648621,0.10922728178273443,0.22250175226486207,2.562145240343345e-08
amuse_aurora,0.4,0.5,nan,1000,1.9945201873779297,2.052389621734619,2.052389621734619,2.9346694946289062,2.012601375579834,0.7000000000000033,0.001,0.003597365997848101,259313.77980340816,3.9488838609977392,2.052389621734619,nan,0.3754915704970352,0.11264747114910934,0.2882074985475512,0.11264747114910932,0.2882074985475511,2.5865072376993563e-08
amuse_aurora_fast,0.4,0.5,nan,0,4.407927513122559,4.394089698791504,4.394089698791504,4.394089698791504,4.389726638793945,0.4,0.001,nan,0.0,0.023641517000214662,4.394089698791504,nan,0.0,0.0,0.0,0.0,0.0,0.0
amuse_aurora_fast,0.4,0.5,nan,250,2.3630456924438477,2.3652074337005615,2.3652074337005615,2.326089859008789,2.216724395751953,0.4,0.001,0.0036843929992755875,262572.21860495326,0.9749698629966588,2.3652074337005615,nan,0.17700276699858924,0.10620166019915353,0.0726842703128733,0.10620166019915354,0.07268427031287332,2.4869963929622043e-08
amuse_aurora_fast,0.4,0.5,nan,500,2.167004108428955,2.195596694946289,2.195596694946289,2.4385085105895996,2.1658236980438232,0.575735931288074,0.001,0.003632672000094317,268238.4727265374,1.908749310998246,2.195596694946289,nan,0.24932819298782552,0.10578099360160714,0.1512488693648134,0.10578099360160716,0.15124886936481338,2.552382923105732e-08
amuse_aurora_fast,0.4,0.5,nan,750,2.0514540672302246,2.0929019451141357,2.0929019451141357,2.494027853012085,2.085465669631958,0.6535898384862278,0.001,0.0035507599968696013,270265.4166969493,2.8416510309980367,2.0929019451141357,nan,0.3030718966733075,0.10498718467688574,0.21432923484042724,0.10498718467688574,0.2143292348404272,2.5498697298971054e-08
amuse_aurora_fast,0.4,0.5,nan,1000,2.0262064933776855,2.094817638397217,2.094817638397217,2.7101190090179443,2.0744590759277344,0.7000000000000033,0.001,0.003936515997338574,269721.148111352,3.7965135740014375,2.0929019451141357,nan,0.3570026036399125,0.10710078109197256,0.27671128432590764,0.10710078109197257,0.2767112843259077,2.603669629176082e-08
