optimizer,beta1,rho,fixed_beta,step,train_loss,val_loss,val_loss_x,val_loss_z,val_loss_y,beta_t,lr,step_time,tokens_per_sec,elapsed_s,best_val_loss,update_cosine_similarity,z_x_distance,y_x_distance,y_z_distance,y_x_expected_distance,y_z_expected_distance,amuse_y_reconstruction_error
torch_muon,nan,nan,nan,0,4.410679340362549,4.4163432121276855,4.4163432121276855,nan,nan,nan,3.3333333333333333e-06,nan,0.0,0.44669255699409405,4.4163432121276855,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,500,2.5017096996307373,2.5127484798431396,2.5127484798431396,nan,nan,nan,0.00167,0.014260846997785848,514080.0272954565,7.967631073996017,2.5127484798431396,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,1000,1.7647182941436768,1.8932539224624634,1.8932539224624634,nan,nan,nan,0.0033366666666666666,0.014043012000911403,533346.0869716546,15.359632703999523,1.8932539224624634,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,1500,1.4496753215789795,1.6398290395736694,1.6398290395736694,nan,nan,nan,0.005,0.014394734003872145,534903.13126681,22.972383748994616,1.6398290395736694,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,2000,1.3657289743423462,1.567376732826233,1.567376732826233,nan,nan,nan,0.004984786304919372,0.013932377005403396,540086.9117068554,30.335858256999927,1.567376732826233,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,2500,1.3309110403060913,1.5510166883468628,1.5510166883468628,nan,nan,nan,0.004939350958804604,0.015021235994936433,539383.4596785958,37.969277018994035,1.5510166883468628,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,3000,1.3006303310394287,1.5390474796295166,1.5390474796295166,nan,nan,nan,0.004864308396768294,0.014074359001824632,540883.3279193194,45.43678595999518,1.5390474796295166,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,3500,1.2812163829803467,1.5388906002044678,1.5388906002044678,nan,nan,nan,0.004760673440727677,0.014436006000323687,541961.6385804638,52.90411342599691,1.5388906002044678,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,4000,1.2714141607284546,1.5448068380355835,1.5448068380355835,nan,nan,nan,0.004629847575679107,0.01366713199968217,542610.2197989634,60.389573959997506,1.5388906002044678,nan,nan,nan,nan,nan,nan,nan
torch_muon,nan,nan,nan,4500,1.255147099494934,1.5532160997390747,1.5532160997390747,nan,nan,nan,0.0044735999970177,0.01416607700230088,543207.8039545652,67.86353165699984,1.5388906002044678,nan,nan,nan,nan,nan,nan,nan
