optimizer,candidate,best_val_loss,best_train_loss,best_step,final_val_loss,final_train_loss,final_step,elapsed_s
torch_muon,"torch_muon,lr=0.001,other_lr=0.001,wd=0.01,warmup=500,min=0.1",1.731964111328125,1.5583469867706299,3000,1.731964111328125,1.5583469867706299,3000,46.407904740997765
torch_muon,"torch_muon,lr=0.001,other_lr=0.001,wd=0.01,warmup=1500,min=0.1",1.7388349771499634,1.5686166286468506,3000,1.7388349771499634,1.5686166286468506,3000,45.93142115200317
torch_muon,"torch_muon,lr=0.001,other_lr=0.001,wd=0.1,warmup=500,min=0.1",1.7332683801651,1.5624178647994995,3000,1.7332683801651,1.5624178647994995,3000,45.97770170500007
torch_muon,"torch_muon,lr=0.001,other_lr=0.001,wd=0.1,warmup=1500,min=0.1",1.739134430885315,1.5729948282241821,3000,1.739134430885315,1.5729948282241821,3000,46.199304198999016
torch_muon,"torch_muon,lr=0.001,other_lr=0.003,wd=0.01,warmup=500,min=0.1",1.670896291732788,1.4717023372650146,3000,1.670896291732788,1.4717023372650146,3000,46.3732064279975
torch_muon,"torch_muon,lr=0.001,other_lr=0.003,wd=0.01,warmup=1500,min=0.1",1.6704471111297607,1.4809828996658325,3000,1.6704471111297607,1.4809828996658325,3000,46.48661915300181
torch_muon,"torch_muon,lr=0.001,other_lr=0.003,wd=0.1,warmup=500,min=0.1",1.6576964855194092,1.4631173610687256,3000,1.6576964855194092,1.4631173610687256,3000,46.149238090001745
torch_muon,"torch_muon,lr=0.001,other_lr=0.003,wd=0.1,warmup=1500,min=0.1",1.6560509204864502,1.471116304397583,3000,1.6560509204864502,1.471116304397583,3000,46.23903322700062
torch_muon,"torch_muon,lr=0.003,other_lr=0.001,wd=0.01,warmup=500,min=0.1",1.5314708948135376,1.277796983718872,3000,1.5314708948135376,1.277796983718872,3000,46.290955990996736
torch_muon,"torch_muon,lr=0.003,other_lr=0.001,wd=0.01,warmup=1500,min=0.1",1.5299017429351807,1.2895487546920776,3000,1.5299017429351807,1.2895487546920776,3000,46.19480928399571
torch_muon,"torch_muon,lr=0.003,other_lr=0.001,wd=0.1,warmup=500,min=0.1",1.5268824100494385,1.2825841903686523,3000,1.5268824100494385,1.2825841903686523,3000,46.17089797700464
torch_muon,"torch_muon,lr=0.003,other_lr=0.001,wd=0.1,warmup=1500,min=0.1",1.521501898765564,1.2942804098129272,3000,1.521501898765564,1.2942804098129272,3000,46.23363888899621
torch_muon,"torch_muon,lr=0.003,other_lr=0.003,wd=0.01,warmup=500,min=0.1",1.5364446640014648,1.2518717050552368,3000,1.5364446640014648,1.2518717050552368,3000,46.26578802100266
torch_muon,"torch_muon,lr=0.003,other_lr=0.003,wd=0.01,warmup=1500,min=0.1",1.534909963607788,1.2639997005462646,3000,1.534909963607788,1.2639997005462646,3000,46.48051615499571
torch_muon,"torch_muon,lr=0.003,other_lr=0.003,wd=0.1,warmup=500,min=0.1",1.5219848155975342,1.2512645721435547,3000,1.5219848155975342,1.2512645721435547,3000,46.62034530300298
torch_muon,"torch_muon,lr=0.003,other_lr=0.003,wd=0.1,warmup=1500,min=0.1",1.5225964784622192,1.2654703855514526,3000,1.5225964784622192,1.2654703855514526,3000,46.49412621699594
torch_muon,"torch_muon,lr=0.005,other_lr=0.001,wd=0.01,warmup=500,min=0.1",1.5225341320037842,1.2146114110946655,3000,1.5225341320037842,1.2146114110946655,3000,46.30062043299404
torch_muon,"torch_muon,lr=0.005,other_lr=0.001,wd=0.01,warmup=1500,min=0.1",1.5038070678710938,1.2271956205368042,3000,1.5038070678710938,1.2271956205368042,3000,46.44189053199807
torch_muon,"torch_muon,lr=0.005,other_lr=0.001,wd=0.1,warmup=500,min=0.1",1.5097639560699463,1.2234398126602173,3000,1.5097639560699463,1.2234398126602173,3000,46.30950093899446
torch_muon,"torch_muon,lr=0.005,other_lr=0.001,wd=0.1,warmup=1500,min=0.1",1.5014011859893799,1.2387278079986572,3000,1.5014011859893799,1.2387278079986572,3000,46.52986634999979
torch_muon,"torch_muon,lr=0.005,other_lr=0.003,wd=0.01,warmup=500,min=0.1",1.5330400466918945,1.1938035488128662,3000,1.5330400466918945,1.1938035488128662,3000,46.48796687599679
torch_muon,"torch_muon,lr=0.005,other_lr=0.003,wd=0.01,warmup=1500,min=0.1",1.5307303667068481,1.209678053855896,3000,1.5307303667068481,1.209678053855896,3000,46.481687129999045
torch_muon,"torch_muon,lr=0.005,other_lr=0.003,wd=0.1,warmup=500,min=0.1",1.5133588314056396,1.2011258602142334,3000,1.5133588314056396,1.2011258602142334,3000,46.336602567003865
torch_muon,"torch_muon,lr=0.005,other_lr=0.003,wd=0.1,warmup=1500,min=0.1",1.5052365064620972,1.2152414321899414,3000,1.5052365064620972,1.2152414321899414,3000,45.8348959549985
